trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.9940179640539353}",25,0,-105.66397924510328,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.9880717128619305}",25,0,-128.89922076476716,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.75, 'e': 0.9821610323583007}",20,0,-54.378213493703306,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.9762857097579093}",25,0,-116.17082935128649,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.75, 'e': 0.9704455335485082}",20,0,-102.07556744063614,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.964640293483123}",25,16,-64.61784550644275,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
7,False,"{'a': 0.75, 'e': 0.9588697805724845}",20,0,-39.32242328548295,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.9531337870775047}",30,0,-107.54069870552078,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.9474321065017983}",25,0,-165.16818600882655,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.9417645335842487}",20,1,-82.86065803814942,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
11,False,"{'a': 0.75, 'e': 0.9361308642916188}",25,0,-70.652351973541,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.9305308958112057}",25,0,-39.16454736452892,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.9249644265435393}",25,0,-149.44688862402145,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.75, 'e': 0.9194312560951247}",25,0,-76.15541750990837,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.9139311852712282}",30,0,-148.55462014790675,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.9084640160687062}",20,0,-63.44071818554021,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.9030295516688769}",35,0,-14.001481168884846,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.75, 'e': 0.897627596430435}",25,17,-48.747881199373,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.75, 'e': 0.8922579558824084}",30,1,-123.26538447488333,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 2}",1
20,False,"{'a': 0.75, 'e': 0.8869204367171576}",25,7,-47.07262195210431,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 0}",1
21,False,"{'a': 0.75, 'e': 0.8816148467834162}",20,0,-42.81785779988109,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.75, 'e': 0.8763409950793735}",30,0,-62.299869446200574,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.75, 'e': 0.8710986917457986}",25,0,-154.96504943093822,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
24,False,"{'a': 0.75, 'e': 0.8658877480592052}",20,0,-103.81150184975628,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.75, 'e': 0.860707976425058}",20,0,-88.33541216443197,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.75, 'e': 0.8555591903710187}",25,0,-44.54250990198969,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.75, 'e': 0.8504412045402332}",30,0,-157.91601344204588,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.75, 'e': 0.845353834684659}",20,0,-57.49116654346719,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.75, 'e': 0.8402968976584316}",25,0,-114.23976573034044,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.75, 'e': 0.8352702114112722}",20,0,-16.097233973068203,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.75, 'e': 0.8302735949819329}",30,15,-77.2843785974228,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.75, 'e': 0.8253068684916826}",30,0,-233.1258467653034,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
33,False,"{'a': 0.75, 'e': 0.8203698531378312}",25,7,-60.66960674519232,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
34,False,"{'a': 0.75, 'e': 0.8154623711872928}",25,0,-162.39574982367344,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
35,False,"{'a': 0.75, 'e': 0.8105842459701873}",25,0,-18.171556603583504,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
