trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.01265731752204,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-263.5790341710029,"{0: 12, 1: 1, 2: 5, 3: 3, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.66145989292032,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.58535937774681,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,4,-73.41082052585274,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,15,-1.489745204223551,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.5843836999339,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.14160835749577,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.18661431011209,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.8916870074209,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.59003871968073,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-279.26917430362715,"{0: 7, 1: 2, 2: 8, 3: 6, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.94252011231411,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,19,-41.966683254460406,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.608314475752,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.96810865792327,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.17407698795566,"{0: 14, 1: 2, 2: 11, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,4,-26.690696463484407,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,9,-48.252756189627135,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-4.143644938682705,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.24630361636829,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,1,-62.08077504854916,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.3863146316877,"{0: 15, 1: 6, 2: 6, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.61273487399873,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.7898528761302,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-44.449200678487216,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-17.14977639494632,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,11,-110.8970072714343,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.94710731899611,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,13,-49.32051132969775,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
